transaction_id,customer_id,transaction_date,amount,store_location
ea64862e-bfa9-4bf4-b1c2-30511f448b66,3bee9cbb-f3e6-4a3b-bc70-48db8eadef0c,2020-05-28,527.53,Pattaya
d6a1055d-1ac1-4ec3-9dd1-1867163a16cb,4fd169d8-c2dc-42cc-a0b0-48b12568c8a5,2020-10-11,1096.07,Bangkok
98c145be-e057-4f0b-bbc7-145b82ad9e38,e22ac3f2-c2f2-45d8-a700-18e35c742709,2021-10-14,2836.03,Chiang Mai
b26ddc84-f3db-4bde-a90c-321e70ed2ede,c1f7bc0d-21fe-4cc2-a0ec-79eaec196b66,2023-02-22,639.77,Pattaya
324d76ed-d118-4db3-a769-652ec05ec788,37d32e24-b1ac-4c85-bc5a-08e529923db9,2023-05-21,4258.88,Chiang Mai
46b940b3-26c2-4bf5-9a43-c2ed2dd3304e,2bacff2e-af0d-412b-956d-f3d371fec230,2021-11-25,2355.9,Khon Kaen
ed62173f-6f6d-4cd0-b0e2-b8d39b527e89,aab1fb46-f85a-441b-9746-301630c0e676,2022-07-27,4663.57,Phuket
f04f4058-a351-4822-9502-7628bb264602,597f97a2-9b0d-4618-8504-6f3403fc4b09,2023-02-22,1132.61,Chiang Mai
e98b551c-4f5d-4f96-8726-ab764ee07d04,c4f36d68-4a42-4892-a201-b1d6dc7675d4,2020-09-22,3760.28,Bangkok
e2e5993d-13ec-4562-b424-3354311c9f83,ad6829e2-91f0-4ddb-83d4-ee7f7905b9ba,2021-03-05,3509.33,Chiang Mai
620d9c73-8241-4b24-be17-87efabff0096,b13c83b5-a2cc-4a51-bcce-883251b38b52,2022-12-06,3692.1,Phuket
22530c97-d937-4b76-bd7a-5ba7e46750b6,831e81b9-9e28-40be-9f4d-85231108a1d2,2022-11-25,365.01,Bangkok
7aefa9ac-b175-4416-a923-a01d223bdb17,9443f1f7-7a2c-4800-a4ee-5999765df816,2020-07-06,2949.87,Phuket
8e9231de-b584-4b23-b1c5-676a2e19dcfb,33821cb6-031f-494b-9e62-81d019aab6bb,2023-02-08,3010.24,Chiang Mai
9b4da15f-f077-413b-badb-c0c8b4e44400,0fefe381-114d-40cc-bd9c-038c307d0a8a,2021-07-08,819.74,Chiang Mai
f6fcf7e4-7b41-4637-85fe-ad0f728b23e4,148776bf-d084-4d45-b407-15e1b42fccfd,2023-02-06,1300.72,Bangkok
158558df-4fd2-499d-8e60-cf2707bd84bb,643619cd-1c47-4053-a055-62851f4090b4,2021-01-31,4172.23,Phuket
20828dd6-5f4d-4605-ba82-c85ec90dacc4,d8cc0371-386c-41b4-939a-bf945acb4b0d,2021-10-30,3850.55,Phuket
bffc5554-1b2f-4b76-913f-de379afdb3da,03767e36-b0bb-4052-98fb-0ef7c7081f82,2021-03-07,786.55,Khon Kaen
4c94c079-24f2-4ac6-a912-d28c48c6b01c,51ef0616-569a-4bae-8dd1-99b7b0b23aa8,2023-01-05,4748.95,Phuket
bd7a23e2-2a48-411a-ad44-4cb7067785aa,e4152f17-1c0a-42ed-b675-fd926340533a,2022-07-13,3640.53,Phuket
cc45280e-2120-4206-95ce-c31b2e6a7295,0d6efbfc-112e-4028-8dda-90fb6ba3455d,2022-08-16,3259.75,Bangkok
c03ea999-15ef-4c20-96f1-0d8e414f8515,242de072-367e-470f-a496-a1bd3cf1bfb1,2020-07-22,645.21,Bangkok
4b0e9dcb-803b-416c-8fbb-1ccc11fdbce7,51822b42-ca8f-44e9-bfb3-425b0ce05774,2021-12-06,3248.03,Khon Kaen
