transaction_id,customer_id,transaction_date,amount,platform
255afef5-a51c-43ee-96b7-3fa5ffc6dc31,92f78e48-a1ea-4b92-adea-e306ed46e6da,2022-09-15,1210.06,Website
c56fe177-3d5e-42dc-a7d2-202ec516212c,b68cb75b-6f10-4688-b992-2e712aa372f9,2020-08-18,478.11,Website
5858813f-4cb3-455b-bbda-94346159cc7c,78147d4c-3895-4408-b9bc-af2777b04656,2023-10-16,3877.29,Website
9421550c-6ee6-461a-b973-78b080be26bb,b3f2f9e3-ebd7-428f-b03e-5f8c793a15de,2022-02-28,1750.15,Website
144c6555-b04a-47be-90aa-b0d655b93adf,34fdf80b-368e-48b4-aca5-f0318b064604,2022-03-28,1945.93,Website
5038ed49-97f2-419d-8996-4b1362434df2,b90f9717-ede1-4192-bfaf-4bfd48d69f6a,2021-09-15,4173.59,Website
ee6ddf7a-6896-4f3e-8ef9-c3e30329807e,1a7bfa9f-2a45-48bd-8de0-7fc13c344d49,2020-10-19,2244.6,App
47c337f1-c344-4e18-8411-dca76b73a90d,5f0725ef-173a-4b3e-b816-825d1786c280,2023-02-07,3414.18,Website
aa66d114-a042-44b7-8e73-a1891763776e,c00d3c45-3a19-4c63-8c8f-fac526dd2f41,2021-11-02,2276.57,App
a869f56c-adcd-423f-927f-d3c7d6e84266,01ab7194-7e3d-4e8e-8b53-b5bfbe752f03,2021-08-24,3767.83,App
bbc6f2b4-93d9-480f-a88c-940abe7ed8f0,353a1717-9c79-44de-8ef9-f9565bfac293,2023-03-02,2716.65,App
e13c3e54-1771-4be6-9898-10f11b357060,c4d16b4c-80c1-4c66-b030-84311e91a03d,2022-05-31,4062.26,App
91a90c43-0ae6-4b07-86e5-0112f8bbbe3e,9eac514d-36ae-47fd-8ddc-d24f0875c930,2020-07-12,4192.06,App
f556b56f-5960-44bb-acbe-b59d54c0c8d4,5f79be77-224c-4d80-a6e1-8899e6fc487a,2021-01-25,4740.94,App
cf1ff024-ca13-4e5e-9a1f-d4bd18a116b0,bfa1380c-f3f7-4d2f-894d-397d7a6ca493,2023-04-27,3870.25,App
ab7ffd33-669c-48e1-a0ef-2edf1490345e,7ba8cad1-6768-4379-ba1a-420058af364d,2020-12-22,2684.55,Website
e77986c7-ea8e-4c4d-8622-fd8978c367cf,e398760c-2aa4-4683-8e1b-6287dcc9f525,2021-12-11,1078.52,Website
89b836e2-6815-48c2-aa7a-51fd46a37be0,3a002b16-d455-4668-9489-5bad4ad139c7,2022-06-29,1325.02,App
1fb96b52-dc64-432d-8639-b3a9ce9cfc25,55f91eb3-60d1-45cd-9c1b-8f867f82c4e0,2024-03-11,1918.94,Website
f9ece5ad-ccd3-43e7-a7e8-d6cf5f136c99,7719322f-65d6-43bd-a442-bc663358d2a0,2021-09-17,4244.87,Website
cad496e1-8fa6-4155-ba51-e1a1d2b7445a,25eb0447-655d-46b8-b704-4b448e5856ce,2023-10-08,510.99,Website
b6957fe1-2341-4084-8e14-44042ac1654f,e7b958b6-1ef7-4b76-879a-20de4b716828,2024-03-01,2301.66,Website
5e632006-b442-4bf3-ab2a-bcc31375c10f,81190c0a-ed19-42ac-9094-acf33950893d,2022-05-12,2243.62,Website
92ab9f15-c40a-4257-9acf-45eec555363d,e398760c-2aa4-4683-8e1b-6287dcc9f525,2023-04-26,2310.53,App
dec90c4a-8096-4578-9f43-8e434a5eba01,b70e3c19-6019-403d-8372-45b95b4a3a2c,2023-06-29,230.68,Website
03a7a2e2-3e24-46f7-9558-db4c4190d395,8c357757-cab3-454e-b0c3-d291d823a6d0,2021-01-10,2559.83,Website
87e8adfd-2aa6-4fd8-82cb-9d24b337ef14,f0fd1025-746e-4d26-8d63-5e468ca9cf55,2020-05-05,4973.17,App
e963733c-8af5-4cd5-b2b9-29e5c38cb3a1,60bcc5ca-b916-4649-8518-8981ffd41d96,2020-05-20,238.12,Website
a10e70ad-8d96-4958-8ec1-3089c2784f34,4db09453-f5dd-4cde-9119-c8964d8904e8,2022-07-03,3602.05,App
9172fdf5-0bd3-4ffd-a022-de971a5981a6,b5307089-758d-400a-9a2e-8b52d3afeaff,2023-05-04,815.64,Website
077f3438-ade0-4c31-8352-220223b528e5,242de072-367e-470f-a496-a1bd3cf1bfb1,2020-10-04,4595.24,App
cc97bd8a-a735-41c0-a437-0b998ab836f5,00f906de-f6ff-4a15-a18f-1d52ce949bd2,2023-11-07,4172.44,App
2c1e8a0c-9a54-4b25-88b5-3b77eaa89817,38ca6f40-30e4-48d7-9714-01131f289ca1,2023-05-20,3115.21,Website
db2ec56a-0e60-4b8d-ab74-455b2edd7f10,eaf3dec2-9615-483f-bbc7-836e1fcd1efa,2024-03-16,1354.03,Website
85c1c821-c722-4849-bf1e-163a1a53fac0,b2ab3802-67bb-4915-9a4d-9873cbd23ca4,2023-06-21,4707.11,App
7f043551-45d7-47d0-8f45-d18368ced5f7,38abc1ca-4f3d-4f0c-98a7-e9146a994b31,2021-02-15,3903.25,Website
e1036649-150b-4041-bd7d-c84903fac878,7dead344-5543-45c0-8b4e-3662fbc4d05b,2020-05-08,697.06,Website
d28d9eee-e899-4e35-82d4-0c674e8d9699,d9e8a52e-3bc5-4349-bc7f-fe55403f28b0,2022-10-16,3230.86,App
077e5207-d632-45d9-be10-bb90c584d8a9,a8a73425-6d5b-4532-8964-a0513b757c52,2023-02-09,643.2,App
5ce69a46-bb2a-4e12-ace4-b2a7476bbdac,34fdf80b-368e-48b4-aca5-f0318b064604,2022-07-07,2726.66,Website
3be0e768-0c50-4f51-80a4-af11749e4491,8535c812-ebd7-4861-ab1d-37c758beaf19,2022-12-12,803.53,App
4cf6cc4d-9ec4-43b1-82dd-8d1f83202319,caab387c-838c-43a8-8621-8e1a477f2c60,2021-12-09,3112.57,Website
ccd38fa1-2465-49d9-a397-42d3048b0fa7,484c5050-f08f-4611-8bc4-7058d4187c39,2024-03-12,2141.18,Website
bff86f7c-a66f-4b97-a362-206f803875b2,eedced33-dcea-447f-bbf7-838185623f0b,2022-07-24,4875.81,Website
e62616b9-cf01-4b7b-abfa-7fb7e0dc9713,335a9eef-73d1-41ea-a8eb-e3b94a1f93f8,2023-07-05,2677.69,Website
893c236a-961e-4a67-ab58-a42f72b551ff,4817e205-19bd-49f3-8c2e-a4546c5e1844,2023-12-07,4379.32,Website
88eae794-fdaa-43b6-a00b-17af952f1807,126d88a5-42b5-41e3-a85f-dbe555e1a2c8,2023-05-04,1995.72,App
b5fe0d9f-b067-4013-b5d0-9a02867c7134,66ac8e24-ad31-449c-8aa1-83620f887c65,2021-12-10,3761.85,App
d217b34b-04e5-476a-82bb-55ea882a15ad,9a04897a-5ba3-476f-a336-84a0f8560884,2023-07-29,431.04,Website
9cf1851b-858c-4649-9f9b-e40c0996b55e,e772a4ad-1782-4ab8-a260-8702985f09b3,2021-01-05,3319.81,Website
dc39cfb4-0cd4-48cd-955d-456237258248,ed7f8adc-0650-4ac9-abc0-92d06274d0e8,2022-11-19,2951.33,App
1ceabe27-e82b-4ff6-b8e8-70422c44ee3c,9cbf0837-5cdb-424c-9b69-f0d2c475aad0,2023-06-10,317.24,App
